seed,num_customer_requests,num_robots,num_operators,utilization_time_period,num_delivered,delivery_rate,utilization_rate,num_risks
8721,20,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",20,1.0,[0.96343179 0.93467337 0.44530569 0.4552639 ],18
3806,25,2,3,"['0900-1200', '1000-1100']",13,0.52,[0.9172947  0.43610698],16
677,25,3,1,"['0900-1200', '0900-1030', '1030-1200']",20,0.8,[0.93116966 0.91916001 0.47950524],13
1694,20,3,3,"['0900-1200', '0900-1030', '1030-1200']",20,1.0,[0.92400624 0.914361   0.44672897],26
1429,30,4,3,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",21,0.7,[0.95804647 0.71301198 0.56061793 0.45243688],15
5600,25,2,3,"['0900-1200', '1000-1100']",14,0.56,[0.9481245  0.48960044],10
8463,25,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",22,0.88,[0.98882682 0.69125336 0.57029857 0.4840948 ],12
7998,25,2,2,[],20,0.8,[0.98085608 0.93586581],13
1206,30,3,1,"['0900-1200', '0900-1030', '1030-1200']",20,0.6666666666666666,[0.87826247 0.86573989 0.44097125],26
3219,25,3,3,"['0900-1030', '0930-1100', '1030-1200']",15,0.6,[0.97321796 0.71091146 0.45556884],6
8575,20,3,1,"['0900-1200', '0900-1030', '1030-1200']",20,1.0,[0.95641528 0.94978338 0.47005726],8
1505,20,3,3,[],20,1.0,[0.95740963 0.92319811 0.92596811],18
5129,20,3,1,"['0900-1030', '0930-1100', '1030-1200']",15,0.75,[0.9270936  0.68634413 0.45744882],11
6538,25,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",23,0.92,[0.95333812 0.97369486 0.44784368 0.42940187],14
1206,30,2,1,[],19,0.6333333333333333,[0.89425242 0.86525282],27
7998,25,4,2,[],25,1.0,[0.95186077 0.98540638 0.94668307 0.94247788],17
8877,25,3,2,"['0900-1030', '0930-1100', '1030-1200']",15,0.6,[0.95690608 0.70378619 0.46662809],8
3816,30,3,3,"['0900-1200', '0900-1030', '1030-1200']",20,0.6666666666666666,[0.96112053 0.92425714 0.45983795],12
908,30,2,3,"['0900-1030', '1030-1200']",10,0.3333333333333333,[0.92784459 0.46253917],10
